join,codice,st,t_ele,f_elet,dt_ele,l_terr,area,cod_com,desc_com,cod_prov,desc_prov,ele_m,ele_f,ele_t,vot_m,vot_f,vot_t,perc_vot,sz_perv,sz_tot,fine_rip,sk_bianche,sk_nulle,sk_contestate,tot_vot_lis,non_valid,dt_agg,data_prec_elez,circ_sto,reg_sto,prov_sto,comu_sto,tipo_tras,NR.,DESCRIZIONE COMUNE,SIGLA,CODICE ELETTORALE,CODICE ISTAT,CODICE BELFIORE,pref_silvia,pref_marcello,dati_presenti
830880,2040830880,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,880,GIUSTINO,83,TRENTO,310,336,646,141,145,286,"44,27",1,1,N,4,6,0,276,,20240610015350.0,20190526000000.0,2.0,4.0,83.0,880.0,SZ,3103,GIUSTINO,TN,1040830880,22093,E065,0,0,1
140330,2040140330,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,330,GLORENZA/GLURNS,14,BOLZANO,420,412,832,182,167,349,"41,95",1,1,N,12,6,0,331,,20240610013808.0,20190526000000.0,2.0,4.0,14.0,330.0,CO,3107,GLORENZA/GLURNS,BZ,1040140330,21036,E069,0,0,1
840320,2050840320,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,320,GODEGA DI SANT'URBANO,84,TREVISO,2977,3020,5997,1128,1073,2201,"36,70",6,6,N,26,59,0,2116,,20240610023755.0,20190526000000.0,2.0,5.0,84.0,320.0,SZ,3108,GODEGA DI SANT'URBANO,TV,1050840320,26033,E071,5,2,1
850440,2060850440,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,440,GONARS,85,UDINE,2055,2064,4119,1370,1367,2737,"66,45",5,5,N,120,140,0,2477,,20240610045744.0,20190526000000.0,2.0,6.0,85.0,440.0,SZ,3116,GONARS,UD,1060850440,30044,E083,2,0,1
840330,2050840330,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,330,GORGO AL MONTICANO,84,TREVISO,2074,2012,4086,1084,1049,2133,"52,20",4,4,N,49,105,0,1979,,20240610045048.0,20190526000000.0,2.0,5.0,84.0,330.0,SZ,3126,GORGO AL MONTICANO,TV,1050840330,26034,E092,0,0,1
350070,2060350070,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,70,GORIZIA,35,GORIZIA,13783,14785,28568,6323,6598,12921,"45,23",37,37,N,94,326,0,12501,,20240610020234.0,20190526000000.0,2.0,6.0,35.0,70.0,SZ,3130,GORIZIA,GO,1060350070,31007,E098,15,11,1
290091,2080290091,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,91,GORO,29,FERRARA,1427,1557,2984,639,628,1267,"42,46",5,5,N,9,50,0,1208,,20240610023153.0,20190526000000.0,2.0,8.0,29.0,91.0,CO,3137,GORO,FE,1080290091,38025,E107,1,0,1
100250,2050100250,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,250,GOSALDO,10,BELLUNO,354,329,683,113,105,218,"31,92",2,2,N,2,6,0,210,,20240610004009.0,20190526000000.0,2.0,5.0,10.0,250.0,SZ,3140,GOSALDO,BL,1050100250,25025,E113,0,0,1
610230,2080610230,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,230,GOSSOLENGO,61,PIACENZA,2293,2405,4698,1596,1682,3278,"69,77",5,5,N,71,101,0,3106,,20240610015842.0,20190526000000.0,2.0,8.0,61.0,230.0,SZ,3141,GOSSOLENGO,PC,1080610230,33023,E114,5,2,1
350080,2060350080,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,80,GRADISCA D'ISONZO,35,GORIZIA,2646,2893,5539,1687,1834,3521,"63,57",7,7,N,67,103,0,3351,,20240610045339.0,20190526000000.0,2.0,6.0,35.0,80.0,SZ,3147,GRADISCA D'ISONZO,GO,1060350080,31008,E124,8,11,1
